Reporting year,Remoteness Area,Sex,Potentially preventable hospitalisation (PPH) category,Potentially preventable hospitalisation (PPH) condition,Population,"PPH per 100,000 people (age-standardised)","PPH per 100,000 people (crude)",Number of PPH,Number of same day PPH,Percentage of PPH that are same day (%),Total PPH bed days,Average length of stay (days)
2012–13,Inner Regional,Males,Acute PPH,Cellulitis,2066123,282,298,"6,163",851,13.8,"27,525",4.5
2012–13,Inner Regional,Persons,Acute PPH,Cellulitis,4156288,234,258,"10,713","1,410",13.2,"49,297",4.6
2012–13,Inner Regional,Females,Acute PPH,Cellulitis,2090164,187,218,"4,550",559,12.3,"21,772",4.8
2012–13,Inner Regional,Persons,Acute PPH,Convulsions,4156288,79,80,"3,306",950,28.7,"9,963",3.0
2012–13,Inner Regional,Females,Acute PPH,Convulsions,2090164,74,73,"1,526",426,27.9,"3,679",2.4
2012–13,Inner Regional,Males,Acute PPH,Convulsions,2066123,85,86,"1,780",524,29.4,"6,285",3.5
2012–13,Inner Regional,Persons,Acute PPH,Convulsions and epilepsy,4156288,168,167,"6,937","1,834",26.4,"20,325",2.9
2012–13,Inner Regional,Males,Acute PPH,Convulsions and epilepsy,2066123,183,183,"3,775","1,022",27.1,"11,768",3.1
2012–13,Inner Regional,Females,Acute PPH,Convulsions and epilepsy,2090164,154,151,"3,162",812,25.7,"8,558",2.7
2012–13,Inner Regional,Persons,Acute PPH,Dental conditions,4156288,328,321,"13,351","11,838",88.7,"15,523",1.2
2012–13,Inner Regional,Females,Acute PPH,Dental conditions,2090164,338,326,"6,819","6,120",89.8,"7,780",1.1
2012–13,Inner Regional,Males,Acute PPH,Dental conditions,2066123,319,316,"6,532","5,718",87.5,"7,743",1.2
2012–13,Inner Regional,Males,Acute PPH,"Ear, nose and throat infections",2066123,171,167,"3,457","1,274",36.9,"5,462",1.6
2012–13,Inner Regional,Persons,Acute PPH,"Ear, nose and throat infections",4156288,175,166,"6,912","2,490",36.0,"11,882",1.7
2012–13,Inner Regional,Females,Acute PPH,"Ear, nose and throat infections",2090164,178,165,"3,455","1,216",35.2,"6,420",1.9
2012–13,Inner Regional,Persons,Acute PPH,Eclampsia,4156288,n.p,n.p,13,n.p,n.p,n.p,n.p
