Reporting year,Quintile,Sex,Potentially preventable hospitalisation (PPH) category,Potentially preventable hospitalisation (PPH) condition,Population,"PPH per 100,000 people (age-standardised)","PPH per 100,000 people (crude)",Number of PPH,Number of same day PPH,Percentage of PPH that are same day (%),Total PPH bed days,Average length of stay (days)
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,Cellulitis,2159050,342,351,"7,578","1,155",15.2,"31,142",4.1
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,Cellulitis,2161926,252,279,"6,035",968,16.0,"27,150",4.5
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,Cellulitis,4320976,297,315,"13,613","2,123",15.6,"58,292",4.3
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,Convulsions,2159050,111,113,"2,440",714,29.3,"5,457",2.2
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,Convulsions,2161926,87,88,"1,900",554,29.2,"4,315",2.3
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,Convulsions,4320976,99,100,"4,340","1,268",29.2,"9,772",2.3
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,Convulsions and epilepsy,2159050,240,241,"5,194","1,438",27.7,"13,323",2.6
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,Convulsions and epilepsy,2161926,178,177,"3,822","1,044",27.3,"10,045",2.6
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,Convulsions and epilepsy,4320976,209,209,"9,016","2,482",27.5,"23,368",2.6
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,Dental conditions,2159050,290,290,"6,259","5,110",81.6,"7,960",1.3
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,Dental conditions,2161926,297,289,"6,241","5,319",85.2,"7,623",1.2
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,Dental conditions,4320976,294,289,"12,500","10,429",83.4,"15,583",1.2
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,"Ear, nose and throat infections",2159050,206,212,"4,571","1,612",35.3,"7,104",1.6
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,"Ear, nose and throat infections",2161926,205,203,"4,390","1,459",33.2,"7,311",1.7
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,"Ear, nose and throat infections",4320976,206,207,"8,961","3,071",34.3,"14,415",1.6
